Element,Coordinates
H,"[37.165372114146535, -199.78941977325226, -147.84666702112355, 219.5409616057637, 253.11211718135365, -268.9441646541195, 39.72265645073351, 420.84426118313587, -18.02276766209728, 4.953049558524754, 219.04570651594796, -108.01041675595457, -190.36361321465293, -211.71904605397458, -112.20785461609326, 241.89376752921152]"
He,"[165.72595853893554, -101.46383606304965, -256.2061080473633, -52.02156286648313, 224.1522186463838, -400.35209921590706, -46.39654580937875, 59.65692559411074, -254.99325108194705, 19.9618180802147, 47.66620697871874, 436.17268992603545, -116.33285843315696, -95.89903025765334, -49.14702769991018, 177.46587481310797]"
Li,"[-73.17618767240606, 24.061953253024278, 314.297499588718, 38.97058946013267, 41.58772111415075, -127.38622849852493, 35.02899350876601, 405.9924393403332, -84.35271274525091, -192.99577991014021, -55.09896493316674, 15.78358060145552, 133.9684265873678, -65.40352646387325, 321.44837868444165, 21.747693401641396]"
Be,"[260.84913358141813, 39.45638930473594, 78.2242140550854, 108.18783526588845, -24.690203946339622, 203.2978609556558, -118.81571130821537, 326.8522141153349, -327.07898480058446, 103.70003256011069, 252.94640570298512, 107.8990283374503, 129.69388075085868, 7.260401701663165, 15.952294811761154, 193.1677065190375]"
B,"[-123.79722374208129, 278.86191301786624, -336.86507603030407, -72.72589634764049, 102.32674808562331, -19.68166833255893, 208.71986005985912, 233.73180753956476, -264.3194533557786, -241.47381296318875, 263.2965909036687, 257.1661156586957, -16.778232481536406, 174.38126768149544, -141.73788830073704, -58.67860132538686]"
C,"[179.9066918416161, 153.84394948669873, 17.570119885726672, -179.01864834312386, 528.3804417100573, -30.181289558062733, -114.46457951658743, 34.053976948190616, -149.56071899467025, 62.53856583559769, -195.16298930456304, -19.24359269010757, -125.41555454927443, 263.3104000795227, -97.59485221462408, 310.92300089054584]"
N,"[-39.10442206306038, 263.0331065491379, 72.8928909761289, -239.18915345690073, 305.279690450338, 104.4623303932922, 255.87940964802328, -111.62985800908619, -324.7124316935333, 233.40841622654185, -76.2117425296735, 239.8521807963923, -17.532535121728046, 140.09145021782854, 159.9570820691471, -234.21232648576424]"
O,"[-88.89991497372259, -171.09206209063507, 144.25045803276473, -19.19773125699081, 429.12479954359446, -129.1586701671844, 119.69091658760182, 26.70205578204449, 45.90199813677778, 445.73301747827566, -244.67511463784174, -7.969986362460788, -211.43908821187932, -193.66805769883499, 143.37553178373832, -34.54771314917834]"
F,"[83.58857036972073, -126.80051198169862, -68.8142849547265, 170.0693413267664, 201.96910113538124, -56.3563485823116, 17.158756832098444, -27.377789282048585, -423.11925851864225, 160.5332662512261, -228.35320729535673, -177.14630042683962, -78.79367342572118, -232.36013321976262, 258.84571448679907, 348.7421215090111]"
Ne,"[-267.72083936210225, 7.877997844188979, -121.10572856460806, 65.44544159908273, 374.5952842847207, -84.93301830183104, -194.17060940646957, 275.1883491332612, 168.09359987490015, 210.82663761792716, -205.94564876939887, 218.81731698123045, 49.933409778246485, -34.88861267980963, -202.9035149286761, 280.9495616446873]"
Na,"[-212.57737886077715, 86.62314885865361, 313.7891891316623, 29.619008076130303, 120.33534574616331, -278.3972211584439, 11.096284888908679, 352.864632606759, -151.67029687433276, -188.73669061351762, -72.03308528689817, 66.56293046340664, 1.9445602390396053, 53.59240714337683, 359.2359956293914, 46.47954368815998]"
Mg,"[74.12723855657667, -65.95333666261125, 40.189218778746856, -175.18343576244285, -117.7027846601785, -10.745465889257746, -42.10803006304942, -129.37763938220533, 96.50493210204041, -33.81215142702484, 79.92875707859334, -107.92831930553687, 131.15836503495714, -68.20339769890457, -65.09978821379147, -49.1073544042196]"
Al,"[-28.860276019260905, -72.9133337808399, 23.48991297610256, -54.269384189837815, -174.9368490610362, -23.70411994392971, -103.41144773995978, -177.33447484642096, 76.3899133266185, 3.3015845382509843, 68.53425247273175, -73.91798362394576, 70.47865340565828, 46.49063672763143, -52.86998862280359, -25.98259511128563]"
Si,"[-132.8583681396812, -205.15095280728767, 16.66808560288046, 226.7024817824379, -71.92772432605523, 63.427968153924134, -224.92966006647367, -9.12898583346601, -203.81007397027284, 112.75928544292441, 30.32482978325395, 50.61128005144056, -262.90577115390727, 326.3005656315126, -85.82035701168076, -112.27711194317997]"
P,"[119.66325732947982, -51.10132720856359, -289.6245126509367, -169.83253240173704, 4.432400269254723, 211.99247823367702, -98.20407667973147, 352.689963868828, -9.348745880710675, 20.216881229831078, -251.0865442032509, 227.18207325674658, -233.08491677022334, -21.446886450653086, 314.5193248127103, -37.17759127953317]"
S,"[-174.1135010189312, -26.45353008254556, 65.9600867936837, 39.256484617107, 80.8949005156303, 364.1645893529678, 187.47687001692387, 366.12738123037144, -95.22302310195299, 59.66901166455196, -96.35192931768657, -274.837231424254, 13.927728772043974, 69.78628457960754, -141.17387507498884, 0.31177044792720354]"
Cl,"[-24.966808788841714, 460.90305001718394, -83.39608687504139, 120.85871448361041, 184.78746215336128, -84.72894429768914, -178.3521944226651, 120.8264444368061, -288.523162944957, 123.69681301508712, -87.727535829167, -74.79937416466973, -230.2961482958786, -319.90753216377533, -59.271495034827744, -168.27815819734906]"
Ar,"[-78.81764585724338, -153.45071810608997, -0.6812612259511381, 161.8659038668506, 389.7598578488459, 24.324839761729823, -43.79311650981835, 145.2526063557759, -242.66735200701743, 172.7316482771813, 71.13943082540435, 359.2375520201023, 253.34933371548934, -237.51128775684452, 18.230270014115902, -252.12214046891657]"
K,"[-256.66789707603976, 51.912089230825835, 306.5276966372152, 79.87675703622826, 63.812731715534966, -290.0527060199808, -48.479123040905804, 251.1460277874881, -164.02145062160199, -157.17355630390097, -73.84640767689712, 80.94156873930022, -90.7790439554514, 182.24025078456117, 300.1402402865169, 19.048849289718905]"
Ca,"[200.1307483601458, 34.157422372538655, 118.48485820939814, 217.1784819048401, -166.6958836384205, 67.99152802110407, 177.9794139160518, -118.61919502291812, 159.24930111768563, -82.13506638989786, -113.0363533357299, 102.29266696236404, 22.71254645246795, -15.684629900409325, -114.20298614956268, -17.11566586042266]"
Sc,"[119.71108089559027, -2.5125431928818336, 71.21459010696344, 87.91710047024537, -168.9988717539439, 9.829310397399242, 44.98658284549528, -152.8337884525327, 157.69227955291564, -52.68035437710058, -35.239515538402664, -2.0510957131256524, 76.94414938963044, 16.681853307254823, -86.54450118035719, -14.155813944065992]"
Ti,"[118.9959220266557, 12.223860983652735, 40.16810434081485, 18.27653374438386, -156.12827053057322, -8.891241755711919, 28.81720504290632, -168.20816430669646, 192.1475249957129, -51.11844234768872, -8.319316358252415, -49.67793296874806, 134.01083192664274, -16.561190661713535, -70.0949975546949, 2.695971686206829]"
V,"[98.28996996902131, 14.04216203429556, 11.996073167250893, -37.06478547256684, -144.65677021005018, -18.596574046609543, 5.506526750287631, -173.4492945862105, 196.408880022474, -40.47427174493097, 17.289450823860637, -81.39226848607774, 161.83667090521465, -35.57183543635819, -56.116192924017696, 13.201546389798281]"
Cr,"[32.21407820599053, -28.274137495171868, -1.813117553483052, -126.85633898312788, -133.57405892953895, -25.283253355180864, -53.774239585374204, -156.46065334950381, 129.54291919454897, -16.835346014288017, 63.19980507677856, -106.83736654293041, 146.8903680182421, -40.59997092509363, -45.345460507466726, -2.364189007756774]"
Mn,"[62.71276622271332, -32.24771031886881, 22.31390804747218, -99.8071804136837, -129.56145752523196, -14.841074919966204, -29.741948843314237, -143.87211517787927, 124.07566314920004, -28.439372521299706, 48.10668898555957, -86.79534374637797, 128.2722558341414, -38.977589030700095, -58.111412323087734, -17.416086791389418]"
Fe,"[-9.112659469315775, -60.92505690490725, -3.7513830388305864, -187.56381403167012, -111.86860171530903, -40.84370101818537, -104.0537394413787, -138.69490295314625, 81.6195188487661, -3.9999051820269544, 100.42012420177389, -131.81731789219944, 132.68142030587856, -30.436872317652632, -31.90459754520559, -20.61971726213834]"
Co,"[-42.0493399294779, -78.2219984940379, -22.549360941277325, -263.6140099896728, -96.29918263103309, -38.30582408943298, -126.27289431767251, -122.56269090333964, 44.77539052762296, 10.210604657741152, 129.339470588592, -150.08179961076627, 136.66703374547555, -61.31570322822755, -24.497439304399915, -23.928429893374034]"
Ni,"[-66.17343315960171, -80.4190155026742, -33.596008683046605, -287.961495606591, -91.3513924598237, -41.42436957890406, -137.58317974952232, -110.1789330993295, 25.92978032129711, 17.457674411896118, 132.20847038460795, -153.95034721086685, 136.39284943356662, -67.32342235337859, -18.970026396957866, -17.779072842710356]"
Cu,"[-187.47383485153603, -66.02983726825606, -101.20062123990184, -384.0974269462405, -69.34004516207344, -53.708094344887115, -176.37259165099147, -68.53109420530012, -36.98029665419877, 55.052881735792496, 147.42231012449616, -167.96812371921612, 146.9198742159148, -104.48241148143609, 25.623653577675093, 31.419736396299914]"
Zn,"[-6.7117709116614614, -97.56826243594699, -5.651886952844623, -320.75786284653134, -60.0022568463842, -39.25302518097764, -128.22769590895732, -92.99674179859537, 31.369027119996524, -1.4435712390526447, 150.56175181877924, -173.77000173247166, 143.4079917570125, -84.76471528078774, -25.9950800637337, -52.82257812939298]"
