val_MAE,step,val_Total_Loss,epoch,val_RMSE,train_Total_Loss,train_MAE,train_RMSE,test_Total_Loss,test_MAE,test_RMSE
0.40301766991615295,432,0.32152026891708374,0,0.5643998980522156,,,,,,
,432,,0,,0.5613152980804443,0.5360234975814819,0.7061649560928345,,,
0.4021080732345581,865,0.3082791864871979,1,0.5525877475738525,,,,,,
,865,,1,,0.31213366985321045,0.40088778734207153,0.5552087426185608,,,
0.38766705989837646,1298,0.2728944420814514,2,0.5200244784355164,,,,,,
,1298,,2,,0.27462905645370483,0.3725582957267761,0.519730269908905,,,
0.37490424513816833,1731,0.2620454728603363,3,0.5090417861938477,,,,,,
,1731,,3,,0.2671266496181488,0.36657726764678955,0.5124808549880981,,,
0.3480561673641205,2164,0.22969724237918854,4,0.47567757964134216,,,,,,
,2164,,4,,0.23620250821113586,0.343193918466568,0.482330858707428,,,
0.30512428283691406,2597,0.19568124413490295,5,0.4380704462528229,,,,,,
,2597,,5,,0.20994429290294647,0.3214322328567505,0.4539330005645752,,,
0.3302614092826843,3030,0.2310440093278885,6,0.4763449728488922,,,,,,
,3030,,6,,0.19452179968357086,0.3076099455356598,0.4362910985946655,,,
0.29182320833206177,3463,0.17729559540748596,7,0.4168940484523773,,,,,,
,3463,,7,,0.17732323706150055,0.29106104373931885,0.41713717579841614,,,
0.31789883971214294,3896,0.22354480624198914,8,0.4692123532295227,,,,,,
,3896,,8,,0.18646761775016785,0.29931604862213135,0.4261672794818878,,,
0.2914277911186218,4329,0.18454691767692566,9,0.425630658864975,,,,,,
,4329,,9,,0.18392470479011536,0.2941340506076813,0.42434197664260864,,,
0.4522806406021118,4762,0.38193970918655396,10,0.616004228591919,,,,,,
,4762,,10,,0.3501744866371155,0.4187120199203491,0.5675659775733948,,,
0.39363372325897217,5195,0.3125046193599701,11,0.5563963055610657,,,,,,
,5195,,11,,0.34623023867607117,0.4300740361213684,0.5850593447685242,,,
0.3597835600376129,5628,0.258387953042984,12,0.5053548216819763,,,,,,
,5628,,12,,0.28488147258758545,0.37962526082992554,0.5299906730651855,,,
0.36459779739379883,6061,0.27325478196144104,13,0.5199661254882812,,,,,,
,6061,,13,,0.24464641511440277,0.34930747747421265,0.4906228482723236,,,
0.30307698249816895,6494,0.20001311600208282,14,0.4440830647945404,,,,,,
,6494,,14,,0.21297645568847656,0.31977730989456177,0.45742425322532654,,,
0.29185909032821655,6927,0.18859046697616577,15,0.4297123849391937,,,,,,
,6927,,15,,0.1859208196401596,0.29554179310798645,0.42746543884277344,,,
0.2746056318283081,7360,0.16570989787578583,16,0.40319254994392395,,,,,,
,7360,,16,,0.17437823116779327,0.286870539188385,0.4136160612106323,,,
0.27056556940078735,7793,0.16032299399375916,17,0.39715251326560974,,,,,,
,7793,,17,,0.16406367719173431,0.27571985125541687,0.4006231427192688,,,
0.2521449625492096,8226,0.1445944905281067,18,0.37648794054985046,,,,,,
,8226,,18,,0.1483571082353592,0.2612171769142151,0.3813915550708771,,,
0.24360844492912292,8659,0.13821366429328918,19,0.3668348789215088,,,,,,
,8659,,19,,0.1457473486661911,0.25893306732177734,0.3773406445980072,,,
0.23290550708770752,9092,0.12790077924728394,20,0.3529601991176605,,,,,,
,9092,,20,,0.13465848565101624,0.24842260777950287,0.36263325810432434,,,
0.24888649582862854,9525,0.13474875688552856,21,0.3627100884914398,,,,,,
,9525,,21,,0.13875868916511536,0.2522243559360504,0.36775776743888855,,,
0.24383807182312012,9958,0.1399708241224289,22,0.3683116137981415,,,,,,
,9958,,22,,0.12690004706382751,0.2415459305047989,0.35161247849464417,,,
0.21640388667583466,10391,0.11149728298187256,23,0.3281942307949066,,,,,,
,10391,,23,,0.11875062435865402,0.23247262835502625,0.33968716859817505,,,
0.25630518794059753,10824,0.14878590404987335,24,0.38131922483444214,,,,,,
,10824,,24,,0.16490095853805542,0.2744261622428894,0.3962666392326355,,,
0.22300729155540466,11257,0.11631780862808228,25,0.3357579708099365,,,,,,
,11257,,25,,0.1258784830570221,0.23803932964801788,0.3500537872314453,,,
0.20696163177490234,11690,0.10628335922956467,26,0.31867820024490356,,,,,,
,11690,,26,,0.10869915783405304,0.22061719000339508,0.3249284625053406,,,
0.21120242774486542,12123,0.10659490525722504,27,0.32034116983413696,,,,,,
,12123,,27,,0.1137322336435318,0.22689585387706757,0.3316827714443207,,,
0.2059352844953537,12556,0.1062656044960022,28,0.3198215961456299,,,,,,
,12556,,28,,0.10273759067058563,0.21485593914985657,0.3155899941921234,,,
0.20826224982738495,12989,0.1052994430065155,29,0.31832143664360046,,,,,,
,12989,,29,,0.09565668553113937,0.20691584050655365,0.30449599027633667,,,
0.19551612436771393,13422,0.09570366144180298,30,0.3015495836734772,,,,,,
,13422,,30,,0.09789617359638214,0.20817440748214722,0.3082340955734253,,,
0.1995791792869568,13855,0.09424793720245361,31,0.30026957392692566,,,,,,
,13855,,31,,0.09917182475328445,0.21170546114444733,0.3086576759815216,,,
0.20013411343097687,14288,0.10501624643802643,32,0.3172416388988495,,,,,,
,14288,,32,,0.0867898240685463,0.197477325797081,0.28968653082847595,,,
0.19571439921855927,14721,0.09210764616727829,33,0.29528576135635376,,,,,,
,14721,,33,,0.08233162015676498,0.1901470422744751,0.28171199560165405,,,
0.18588285148143768,15154,0.08482830226421356,34,0.28376489877700806,,,,,,
,15154,,34,,0.08671478927135468,0.19579869508743286,0.28830385208129883,,,
0.19962209463119507,15587,0.09509853273630142,35,0.3020542860031128,,,,,,
,15587,,35,,0.10833460837602615,0.21606962382793427,0.31767919659614563,,,
0.2934189736843109,16020,0.18420599400997162,36,0.42592185735702515,,,,,,
,16020,,36,,0.1316889226436615,0.24135957658290863,0.3462660014629364,,,
0.23186367750167847,16453,0.1257796287536621,37,0.3483043313026428,,,,,,
,16453,,37,,0.1392606496810913,0.25569823384284973,0.36806851625442505,,,
0.21807490289211273,16886,0.10856129229068756,38,0.32360413670539856,,,,,,
,16886,,38,,0.11226525157690048,0.22628197073936462,0.3302094340324402,,,
0.2669232189655304,17319,0.16170260310173035,39,0.39743173122406006,,,,,,
,17319,,39,,0.10571463406085968,0.22040829062461853,0.31865957379341125,,,
0.20596060156822205,17752,0.10205809772014618,40,0.31284841895103455,,,,,,
,17752,,40,,0.1061825305223465,0.21793235838413239,0.320354700088501,,,
0.240505650639534,18185,0.11565994471311569,41,0.335340291261673,,,,,,
,18185,,41,,0.0964292511343956,0.20794343948364258,0.30559197068214417,,,
0.18392090499401093,18618,0.08965053409337997,42,0.2908484935760498,,,,,,
,18618,,42,,0.09435564279556274,0.2066807597875595,0.30155667662620544,,,
0.2380693554878235,19051,0.10736594349145889,43,0.3233983814716339,,,,,,
,19051,,43,,0.07698812335729599,0.1851084679365158,0.27281129360198975,,,
0.19269676506519318,19484,0.09660942107439041,44,0.3032383918762207,,,,,,
,19484,,44,,0.07841560244560242,0.18648281693458557,0.27426376938819885,,,
0.19400356709957123,19917,0.09319193661212921,45,0.2988426089286804,,,,,,
,19917,,45,,0.07515149563550949,0.18240220844745636,0.2689855396747589,,,
0.1770099252462387,20350,0.08405619114637375,46,0.2809913754463196,,,,,,
,20350,,46,,0.07869242131710052,0.18626166880130768,0.2752068340778351,,,
0.17456066608428955,20783,0.0761600136756897,47,0.26885539293289185,,,,,,
,20783,,47,,0.06971960514783859,0.17526857554912567,0.2590901851654053,,,
0.1633869856595993,21216,0.07513885945081711,48,0.2640981078147888,,,,,,
,21216,,48,,0.06543871760368347,0.17091059684753418,0.25101932883262634,,,
0.18419001996517181,21649,0.08329451829195023,49,0.2816067636013031,,,,,,
,21649,,49,,0.07716204971075058,0.18177728354930878,0.271558940410614,,,
0.1784062534570694,22082,0.08718329668045044,50,0.28707459568977356,,,,,,
,22082,,50,,0.07103585451841354,0.17570000886917114,0.2606898844242096,,,
0.1947874128818512,22515,0.08745332807302475,51,0.28842753171920776,,,,,,
,22515,,51,,0.06497238576412201,0.16781578958034515,0.25002753734588623,,,
0.209893599152565,22948,0.09798268973827362,52,0.30730298161506653,,,,,,
,22948,,52,,0.06840366870164871,0.1728225201368332,0.25583264231681824,,,
0.197099968791008,23381,0.09338965266942978,53,0.29842856526374817,,,,,,
,23381,,53,,0.06075696274638176,0.1619821935892105,0.24150781333446503,,,
0.1635080724954605,23814,0.07273132354021072,54,0.25981634855270386,,,,,,
,23814,,54,,0.06246672198176384,0.16440846025943756,0.24421711266040802,,,
0.1716899275779724,24247,0.07656420022249222,55,0.26931825280189514,,,,,,
,24247,,55,,0.058557163923978806,0.1585579663515091,0.23727697134017944,,,
0.16442066431045532,24680,0.07059171795845032,56,0.2588014006614685,,,,,,
,24680,,56,,0.06261990964412689,0.16617640852928162,0.24486178159713745,,,
0.1688189059495926,25113,0.07768011838197708,57,0.2697571814060211,,,,,,
,25113,,57,,0.05958768352866173,0.15896880626678467,0.2378460168838501,,,
0.1879708617925644,25546,0.08179441839456558,58,0.2786663770675659,,,,,,
,25546,,58,,0.05409980192780495,0.1523517370223999,0.22769759595394135,,,
0.16313382983207703,25979,0.07397140562534332,59,0.26448479294776917,,,,,,
,25979,,59,,0.062419403344392776,0.1631108969449997,0.2443312108516693,,,
0.15519799292087555,26412,0.06748513132333755,60,0.2508358955383301,,,,,,
,26412,,60,,0.0567149892449379,0.15728801488876343,0.23316414654254913,,,
0.17806324362754822,26845,0.08490709960460663,61,0.2844349145889282,,,,,,
,26845,,61,,0.05692853033542633,0.15547896921634674,0.23383170366287231,,,
0.14407120645046234,27278,0.05699298903346062,62,0.23109784722328186,,,,,,
,27278,,62,,0.05376862362027168,0.1519046127796173,0.22658152878284454,,,
0.16134366393089294,27711,0.06789810210466385,63,0.25275102257728577,,,,,,
,27711,,63,,0.04740035906434059,0.1415509283542633,0.21272088587284088,,,
0.15528278052806854,28144,0.067690908908844,64,0.2509278655052185,,,,,,
,28144,,64,,0.05323562026023865,0.1515178084373474,0.22554953396320343,,,
0.15307991206645966,28577,0.06153913587331772,65,0.2407858669757843,,,,,,
,28577,,65,,0.05273505672812462,0.1516532152891159,0.22453778982162476,,,
0.1487581729888916,29010,0.057578083127737045,66,0.2327347695827484,,,,,,
,29010,,66,,0.05175439268350601,0.1498863399028778,0.22268590331077576,,,
0.14801999926567078,29443,0.06388876587152481,67,0.24377095699310303,,,,,,
,29443,,67,,0.05032534524798393,0.1446220576763153,0.2175942361354828,,,
0.15992037951946259,29876,0.06205351650714874,68,0.24496644735336304,,,,,,
,29876,,68,,0.047954410314559937,0.14472755789756775,0.21448317170143127,,,
0.1484624147415161,30309,0.06171270087361336,69,0.2402770221233368,,,,,,
,30309,,69,,0.05172352492809296,0.14921055734157562,0.22157405316829681,,,
0.14794710278511047,30742,0.05917557701468468,70,0.23740050196647644,,,,,,
,30742,,70,,0.05716047063469887,0.15784987807273865,0.23220294713974,,,
0.15739154815673828,31175,0.06321566551923752,71,0.24382267892360687,,,,,,
,31175,,71,,0.046469300985336304,0.13965483009815216,0.2106286585330963,,,
0.15991881489753723,31608,0.07122281938791275,72,0.25660890340805054,,,,,,
,31608,,72,,0.06537929177284241,0.16398485004901886,0.245591938495636,,,
0.15824364125728607,32041,0.06717511266469955,73,0.251362144947052,,,,,,
,32041,,73,,0.056811630725860596,0.15407216548919678,0.23315513134002686,,,
0.1637025773525238,32474,0.07127610594034195,74,0.2608654797077179,,,,,,
,32474,,74,,0.05326909199357033,0.15140220522880554,0.22542008757591248,,,
0.14090269804000854,32907,0.05719119682908058,75,0.23067913949489594,,,,,,
,32907,,75,,0.04524540901184082,0.1386643797159195,0.2083170861005783,,,
0.15650366246700287,33340,0.060349997133016586,76,0.24020831286907196,,,,,,
,33340,,76,,0.04977642744779587,0.14519567787647247,0.21698834002017975,,,
