element,E_value
W,[-188858.98178026]
Ta,[-188090.86785037]
Re,[-170610.71780774]
Hf,[-163789.61905466]
Nb,[-157105.21877571]
Mo,[-151385.21623409]
Os,[-151265.19148541]
Zr,[-148195.40826624]
Tc,[-131519.4434501]
Th,[-127921.8039745]
V,[-123213.81739574]
Ti,[-122668.73656607]
Cr,[-114439.91450332]
Pa,[-113376.75505752]
Mn,[-110214.62185559]
Ru,[-101915.24778233]
U,[-99297.28445596]
Fe,[-95460.91227454]
Al,[-92385.48513848]
B,[-90423.95388086]
Ir,[-86977.9711265]
Np,[-84467.88101137]
Sc,[-79937.60190749]
Pu,[-69753.78701429]
Co,[-68042.06291449]
Lu,[-66765.08427295]
Am,[-57444.1720002]
Y,[-56884.32438269]
Be,[-53122.36202473]
P,[-50421.9731473]
Pt,[-44434.12609153]
Rh,[-43822.23552711]
Ce,[-43269.60221333]
Pr,[-37468.95121012]
Ni,[-37230.76730023]
La,[-32050.33460866]
Nd,[-31815.01530009]
As,[-23999.57858825]
Pm,[-22834.77376092]
Ac,[-17417.85173488]
N,[-10001.06290576]
Ga,[-9022.24043897]
Sb,[-7841.99083584]
S,[-6461.95440788]
Pd,[-3635.33720521]
Se,[-3089.3143401]
Te,[-2203.93155648]
Dy,[-1744.43140008]
Tb,[-489.45262025]
Ho,[396.98617989]
Po,[2847.63074224]
Er,[3031.08577957]
Bi,[5372.71574765]
Tm,[5590.67177943]
Yb,[7086.67983846]
Gd,[7976.14021443]
Si,[8701.90286299]
C,[9514.9961528]
Ge,[13125.00576367]
In,[17803.55126898]
Cu,[18030.69108174]
Mg,[22460.30478364]
Eu,[25732.29558564]
Zn,[32446.70068402]
Sm,[34622.9157105]
Au,[34916.9451271]
H,[39223.16057744]
Sn,[40630.26250263]
O,[45048.84610475]
At,[48698.81101416]
I,[51987.56622264]
Ca,[64913.11881027]
Cd,[69690.20660521]
Br,[76602.82260709]
Ag,[78239.43692616]
Pb,[81290.36826624]
Sr,[84919.81219552]
Tl,[89365.26724441]
Cl,[93015.12338505]
Ba,[93046.13003223]
Ra,[97714.33512644]
Hg,[100795.40884698]
Li,[110006.41421669]
Rn,[130316.81349084]
F,[135157.48078639]
Xe,[153821.79158857]
Na,[159735.38119996]
K,[183186.39862316]
Rb,[186652.22849927]
He,[193802.90869629]
Cs,[199190.9071894]
Kr,[200131.97374122]
Fr,[203882.94917611]
Ar,[216003.04089032]
Ne,[218063.18556898]
